"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","+5V","","","","my_footprints:Terminal_Block_5mm","~"
"J2","1","EXT_CLK","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14","14","100R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R15,R17","2","1K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R16,R18","2","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","EN","","","","my_footprints:slide_switch_2.54mm","~"
"SW2","1","RST","","","","my_footprints:tact_switch_5mm","~"
"U1,U2","2","74LS192","","","","my_footprints:74LS192","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"U3,U4","2","74LS48","","","","my_footprints:74LS48","http://www.ti.com/lit/gpn/sn74LS48"
"U5,U6","2","SM420561N","","","","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.lcsc.com/szlcsc/Wuxi-ARK-Tech-Elec-SM420561N_C141367.pdf"
